,location_coordinates,Species,Region,Owner,Company,Country.of.Origin,Farm.Name,Mill,Lot.Number,ICO.Number,Altitude,Producer,Number.of.Bags,Bag.Weight,In.Country.Partner,Harvest.Year,Grading.Date,Owner.1,Variety,Processing.Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean.Cup,Sweetness,Cupper.Points,Total.Cup.Points,Moisture,Category.One.Defects,Quakers,Color,Category.Two.Defects,Expiration,Certification.Body,Certification.Address,Certification.Contact,unit_of_measurement,altitude_low_meters,altitude_high_meters,altitude_mean_meters
320,,Arabica,"leye, alishan township, chiayi county","lin, che-hao krude æž—å“²è±ª",taiwan coffee laboratory,Taiwan,tsoustructive garden é„’ç¯‰åœ’,tsoustructive garden é„’ç¯‰åœ’,Tsoustructive 2015 Caturra,Taiwan,1200,"FANG,ZHENG-LUN æ–¹æ”¿å€«",20,50 kg,Specialty Coffee Association,2015,"May 18th, 2016","Lin, Che-Hao Krude æž—å“²è±ª",Caturra,Natural / Dry,7.5,7.67,7.33,7.92,7.83,7.67,10,10,10,7.75,83.67,0.1,0,0,Bluish-Green,0,"May 18th, 2017",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,m,1200,1200,1200
321,"10.1043153,-84.378546",Arabica,west valley,"ceca, s.a.","ceca,s.a.",Costa Rica,,cafex,8062-1,5-025-0109,1350,,275,69 kg,Specialty Coffee Association of Costa Rica,,"March 14th, 2016","CECA, S.A.",,,7.33,7.67,7.67,7.5,7.67,7.5,10,10,10,8.33,83.67,0.11,0,0,Blue-Green,1,"March 14th, 2017",Specialty Coffee Association of Costa Rica,8e0b118f3cf3121ab27c5387deacdb7d4d2a60b1,5eb2b7129d9714c43825e44dc3bca9423de209e9,m,1350,1350,1350
322,"20.3261105,99.8256896",Arabica,thailand,doi tung development project,doi tung development project,Thailand,,,,-,800++,Doi Tung Development Project,1,1 kg,Specialty Coffee Association,2014,"June 9th, 2015",Doi Tung Development Project,,Washed / Wet,7.5,7.75,7.58,7.83,7.67,7.58,10,10,10,7.75,83.67,0.12,0,0,Bluish-Green,0,"June 8th, 2016",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,m,800,800,800
323,"2.6718169,-76.6389373",Arabica,huila,rob stephen,olam specialty coffee,Colombia,,,,3-259-1444,1550-1700m,Agrotello Coop,100,2 lbs,Specialty Coffee Association,2014/2015,"November 21st, 2014",Rob Stephen,Caturra,Washed / Wet,7.5,7.75,7.5,7.75,7.67,7.67,10,10,10,7.83,83.67,0.11,0,0,,4,"November 21st, 2015",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,m,1550,1700,1625
324,"15.3183403,-91.5286819",Arabica,huehuetenango,juan luis alvarado romero,exportcafe,Guatemala,finca las cuevitas,beneficio exportacafe agua santa,,11-52-380,4451 metros,FRANCISCO LUIS MARTINEZ LOPEZ,275,69 kg,Asociacion Nacional Del CafÃ©,2014,"February 27th, 2014",Juan Luis Alvarado Romero,Bourbon,Washed / Wet,8,7.5,7.33,8,8,8,9.33,10,10,7.5,83.67,0.1,0,0,Green,0,"February 27th, 2015",Asociacion Nacional Del CafÃ©,b1f20fe3a819fd6b2ee0eb8fdc3da256604f1e53,724f04ad10ed31dbb9d260f0dfd221ba48be8a95,ft,1356.6648,1356.6648,1356.6648
325,"2.6718169,-76.6389373",Arabica,huila supremo,exportadora de cafe condor s.a,exportadora de cafe condor s.a,Colombia,various,trilladora boananza,,3-68-0021,1750 msnm,,250,70 kg,AlmacafÃ©,2013,"October 29th, 2013",Exportadora de Cafe Condor S.A,Caturra,Washed / Wet,7.83,7.75,7.67,7.58,7.58,7.67,10,10,10,7.58,83.67,0,0,0,Green,3,"October 29th, 2014",AlmacafÃ©,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,1750,1750,1750
326,"2.6718169,-76.6389373",Arabica,huila,racafe & cia s.c.a,racafe & cia s.c.a,Colombia,,,,3-37-2865,1800 - 2000,Huila,250,70 kg,AlmacafÃ©,2013,"August 16th, 2013",Racafe & Cia S.C.A,Caturra,Washed / Wet,7.67,7.67,7.67,7.67,7.33,7.75,10,10,10,7.92,83.67,0,0,0,Green,1,"August 16th, 2014",AlmacafÃ©,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,1800,2000,1900
327,"14.1078491,-89.7899396",Arabica,oriente,juan luis alvarado romero,"unex guatemala, s.a.",Guatemala,la union monte verde,beneficio ixchel,,11/23/0634,4300,"AGRICOLA MONTE VERDE, S.A.",250,69 kg,Asociacion Nacional Del CafÃ©,2013,"May 30th, 2013",Juan Luis Alvarado Romero,Bourbon,Washed / Wet,7.67,7.67,7.42,7.67,8,7.75,10,10,10,7.5,83.67,0.12,1,0,Green,3,"May 30th, 2014",Asociacion Nacional Del CafÃ©,b1f20fe3a819fd6b2ee0eb8fdc3da256604f1e53,724f04ad10ed31dbb9d260f0dfd221ba48be8a95,ft,1310.64,1310.64,1310.64
328,"14.1078491,-89.7899396",Arabica,oriente,juan luis alvarado romero,"unex guatemala, s.a.",Guatemala,el sacramento,beneficio ixchel,,11/23/0420,4300,LUIS RODRIGUEZ,250,69 kg,Asociacion Nacional Del CafÃ©,2013,"February 26th, 2013",Juan Luis Alvarado Romero,Bourbon,Washed / Wet,7.83,7.67,7.33,7.67,7.67,7.83,10,10,10,7.67,83.67,0.11,0,0,Green,2,"February 26th, 2014",Asociacion Nacional Del CafÃ©,b1f20fe3a819fd6b2ee0eb8fdc3da256604f1e53,724f04ad10ed31dbb9d260f0dfd221ba48be8a95,ft,1310.64,1310.64,1310.64
329,"2.6718169,-76.6389373",Arabica,huila,exportadora de cafe condor s.a,exportadora de cafe condor s.a,Colombia,,trilladora boananza,,3-68-0045,1750 msnm,,250,70 kg,AlmacafÃ©,2012,"November 22nd, 2012",Exportadora de Cafe Condor S.A,Caturra,Washed / Wet,7.75,7.75,7.58,7.83,7.17,7.75,10,10,10,7.83,83.67,0.11,0,0,Green,1,"November 22nd, 2013",AlmacafÃ©,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,1750,1750,1750
330,"14.1078491,-89.7899396",Arabica,oriente,the coffee source inc.,the coffee source inc.,Guatemala,finca quequesquez,finca quequesquez,,11-183-22,1450,Finca Quequesquez,250,1 kg,Specialty Coffee Association,2012,"August 23rd, 2012",The Coffee Source Inc.,Caturra,Natural / Dry,8.17,8.17,7.83,7.67,8.08,7.75,9.33,9.33,9.33,8,83.67,0.11,0,0,Green,1,"August 23rd, 2013",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,m,1450,1450,1450
331,"14.1078491,-89.7899396",Arabica,oriente,juan luis alvarado romero,"unex guatemala, s.a.",Guatemala,agropecuaria quiagral,beneficio ixchel,,11/23/0933,4300,AGROPECUARIA QUIAGRAL,250,1 kg,Asociacion Nacional Del CafÃ©,2012,"July 9th, 2012",Juan Luis Alvarado Romero,Bourbon,Washed / Wet,7.67,8.17,7.5,7.42,7.58,7.83,10,10,10,7.5,83.67,0.11,0,0,Green,13,"July 9th, 2013",Asociacion Nacional Del CafÃ©,b1f20fe3a819fd6b2ee0eb8fdc3da256604f1e53,724f04ad10ed31dbb9d260f0dfd221ba48be8a95,ft,1310.64,1310.64,1310.64
332,"20.2685823,-97.9792191",Arabica,xicotepec de juarez,juan luis ortega carballo,,Mexico,finca apoxtla,xicotepec de juarez,,1207033381,1100,JUAN LUIS ORTEGA CARBALLO,48,1 kg,AMECAFE,2012,"July 2nd, 2012",JUAN LUIS ORTEGA CARBALLO,Typica,Washed / Wet,7.67,7.5,7.5,7.33,7.83,8.25,10,10,10,7.58,83.67,0.12,4,0,Green,11,"July 2nd, 2013",AMECAFE,59e396ad6e22a1c22b248f958e1da2bd8af85272,0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7,m,1100,1100,1100
333,"-6.9094554,111.3387474",Arabica,east java,ekai international company ltd.,scai,Indonesia,"ijen highland, east java",pt. perkebunan nusantara xii,,,1200-1600masl,PT. Perkebunan Nusantara XII,10,60 kg,Specialty Coffee Association of Indonesia,2012,"May 23rd, 2012",EKAI International Company Ltd.,Typica,Washed / Wet,8.17,7.67,7.58,7.58,7.42,7.67,10,10,10,7.58,83.67,0.12,0,0,Green,0,"May 23rd, 2013",Specialty Coffee Association of Indonesia,99fa73db21b7acd9c9ceb9dd84e409d2077d55c4,36910838db193ebdd61fa1427bac74622114c49a,m,1200,1600,1400
334,"14.5497843,-90.8866581",Arabica,"sacatepequez, guatemala",juan luis alvarado romero,"siembras vision, s.a.",Guatemala,finca medina,beneficio 2000,,11/11711/08,5000,"SIEMBRAS VISION, S.A",250,69 kg,Asociacion Nacional Del CafÃ©,2012,"April 30th, 2012",Juan Luis Alvarado Romero,Caturra,Washed / Wet,7.67,7.5,7.33,8,7.67,7.67,10,10,10,7.83,83.67,0.1,0,0,Green,0,"April 30th, 2013",Asociacion Nacional Del CafÃ©,b1f20fe3a819fd6b2ee0eb8fdc3da256604f1e53,724f04ad10ed31dbb9d260f0dfd221ba48be8a95,ft,1524,1524,1524
335,"19.6643179,-156.0255674",Arabica,,kona pacific farmers cooperative,,United States (Hawaii),,,,HDOA 210345,,,3,100 lbs,Specialty Coffee Association,,"April 21st, 2011",Kona Pacific Farmers Cooperative,,,7.75,8,7.92,8.08,7.75,8,9.33,9.33,9.33,8.17,83.67,0,0,0,,0,"April 20th, 2012",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,ft,NA,NA,NA
336,"-21.7473732,-46.5607286",Arabica,south of minas,ipanema coffees,ipanema coffees,Brazil,fazenda capoeirnha,dry mill,020/17,002/1660/0080,890,Ipanema Agricola S.A,320,60 kg,Brazil Specialty Coffee Association,2017 / 2018,"October 20th, 2017",Ipanema Coffees,Bourbon,Natural / Dry,7.58,7.67,7.58,7.58,7.67,7.58,10,10,10,7.92,83.58,0.11,0,0,Green,5,"October 20th, 2018",Brazil Specialty Coffee Association,3297cfa4c538e3dd03f72cc4082c54f7999e1f9d,8900f0bf1d0b2bafe6807a73562c7677d57eb980,m,890,890,890
337,"15.3183403,-91.5286819",Arabica,huehuetenango,juan luis alvarado romero,exportcafe,Guatemala,finca santa clara,beneficio exportacafe agua santa,11/52/1170,11/52/1170,3702,JUAN RAMIREZ MORALES,275,69 kg,Asociacion Nacional Del CafÃ©,2016,"July 5th, 2016",Juan Luis Alvarado Romero,Caturra,Washed / Wet,7.75,7.75,7.5,7.83,7.58,7.58,10,10,10,7.58,83.58,0.11,0,1,Green,0,"July 5th, 2017",Asociacion Nacional Del CafÃ©,b1f20fe3a819fd6b2ee0eb8fdc3da256604f1e53,724f04ad10ed31dbb9d260f0dfd221ba48be8a95,ft,1128.3696,1128.3696,1128.3696
338,"2.6718169,-76.6389373",Arabica,huila,racafe & cia s.c.a,racafe & cia s.c.a,Colombia,,bachue,3-37-2548,3-37-2548,,La Plata,275,70 kg,AlmacafÃ©,2016,"April 15th, 2016",Racafe & Cia S.C.A,Caturra,Washed / Wet,7.75,7.75,7.58,7.58,7.67,7.58,10,10,10,7.67,83.58,0.11,0,0,Green,4,"April 15th, 2017",AlmacafÃ©,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,NA,NA,NA
339,"25.1146645,97.3683238",Arabica,yunnan,yunnan coffee exchange,yunnan coffee exchange,China,menglian mang pan professional cooperative,menglian mang pan professional cooperative,YNC-16029,,1100,Menglian Mang Pan Professional Cooperative,3,60 kg,Yunnan Coffee Exchange,2015,"April 6th, 2016",Yunnan Coffee Exchange,Catimor,Washed / Wet,7.67,7.58,7.58,7.58,7.67,7.75,10,10,10,7.75,83.58,0.1,0,1,Green,4,"April 6th, 2017",Yunnan Coffee Exchange,683fa6014608fc10ff681b0435b0b2dbe6df988f,f6d87a6c04653c569d4911a66f89d5e30ce83b93,m,1100,1100,1100
340,"2.6718169,-76.6389373",Arabica,huila,racafe & cia s.c.a,racafe & cia s.c.a,Colombia,,,,3-37-0636,de 1600 a 1950 msnm,La Plata,275,70 kg,AlmacafÃ©,2015,"November 19th, 2015",Racafe & Cia S.C.A,Caturra,Washed / Wet,7.67,7.75,7.58,7.67,7.75,7.58,10,10,10,7.58,83.58,0.12,0,0,Green,3,"November 18th, 2016",AlmacafÃ©,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,1600,1950,1775
341,"15.8730453,-92.7343443",Arabica,"chiapas, jaltenango",andreas kussmaul,exportadora cafÃ© california,Mexico,exportadora cafÃ© california,exportadora cafÃ© california,,016-2028-042,1200,Exportadora CafÃ© California,275,2 kg,AsociaciÃ³n Mexicana De CafÃ©s y CafeterÃ­as De Especialidad A.C.,2014,"May 12th, 2015",ANDREAS KUSSMAUL,Caturra,Washed / Wet,7.75,7.75,7.58,7.58,7.5,7.67,10,10,10,7.75,83.58,0.12,1,0,Green,13,"May 11th, 2016",AsociaciÃ³n Mexicana De CafÃ©s y CafeterÃ­as De Especialidad A.C.,3441698871fa609a44ce947e8944ee42eb4428b9,9894541e8065ee718165a1d432389d114defc38c,m,1200,1200,1200
342,"6.1596273,38.1942271",Arabica,yirgacheffe,essencecoffee,essence coffee,Ethiopia,lomi tasha,worka,,100181006,1700-2000m,LevelUp,250,60 kg,Blossom Valley International,2014,"March 25th, 2015",EssenceCoffee,Other,Washed / Wet,7.75,7.67,7.58,7.67,7.5,7.67,10,10,10,7.75,83.58,0,0,0,,7,"March 24th, 2016",Blossom Valley International,fc45352eee499d8470cf94c9827922fb745bf815,de73fc9412358b523d3a641501e542f31d2668b0,m,1700,2000,1850
343,"0.7105619,32.7016328",Arabica,eastern,bulamburi coffee farmers association,bulamburi coffee farmers association,Uganda,bulamburi coffee farmers,bulamburi coffee farmers,,0,1800,Bulamburi coffee farmers association,100,60 kg,Uganda Coffee Development Authority,2013,"June 27th, 2014",Bulamburi coffee farmers association,SL14,Washed / Wet,7.67,7.67,7.42,7.75,7.75,7.67,10,10,10,7.67,83.58,0.12,0,0,Green,5,"June 27th, 2015",Uganda Coffee Development Authority,188fe373b511e21f614564bf86aa4774270d8e04,b7614767a5343729bbde3a2777c60ce836aed928,m,1800,1800,1800
344,"4.7815839,-75.0920664",Arabica,cundinamarca,compaÃ±ia colombiana agroindustrial s.a,ecom cca sa,Colombia,,trilladora boananza,,14-3-79-1921,1600,,250,70 kg,AlmacafÃ©,2014,"June 24th, 2014",CompaÃ±ia Colombiana Agroindustrial S.A,Caturra,Natural / Dry,7.67,7.58,7.67,7.67,7.67,7.67,10,10,10,7.67,83.58,0,0,0,Green,0,"June 24th, 2015",AlmacafÃ©,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,1600,1600,1600
345,"4.5167538,-75.6940406",Arabica,santander,compaÃ±ia colombiana agroindustrial s.a,ecom cca sa,Colombia,,trilladora agricola,,14-3-79-0953,1550,,250,70 kg,AlmacafÃ©,2014,"March 13th, 2014",CompaÃ±ia Colombiana Agroindustrial S.A,Caturra,Washed / Wet,7.67,7.58,7.67,7.58,7.67,7.75,10,10,10,7.67,83.58,0.12,0,0,Green,1,"March 13th, 2015",AlmacafÃ©,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,1550,1550,1550
346,"4.5167538,-75.6940406",Arabica,santander,compaÃ±ia colombiana agroindustrial s.a,ecom cca sa,Colombia,,trilladora agricola,,3-79-0828,1550,,250,70 kg,AlmacafÃ©,2014,"March 21st, 2014",CompaÃ±ia Colombiana Agroindustrial S.A,Caturra,Washed / Wet,7.75,7.58,7.5,7.58,7.75,7.83,10,10,10,7.58,83.58,0,0,0,,0,"March 21st, 2015",AlmacafÃ©,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,1550,1550,1550
347,,Arabica,taichung xinshe å°ä¸­å¸‚æ–°ç¤¾å€,cqi taiwan icp cqiå°ç£åˆä½œå¤¥ä¼´,blossom valleyå®¸å¶§åœ‹éš›,Taiwan,dragon coffee é¾å’–å•¡,dragon coffee é¾å’–å•¡,,,1000 m,Gu zhi min å¤æ™ºé–”,10,30 kg,Blossom Valley International,2013/2014,"December 26th, 2013",CQI Taiwan ICP CQIå°ç£åˆä½œå¤¥ä¼´,Typica,Other,7.75,7.75,7.75,7.75,7.5,7.58,10,10,10,7.5,83.58,0.11,0,0,Green,0,"December 26th, 2014",Blossom Valley International,fc45352eee499d8470cf94c9827922fb745bf815,de73fc9412358b523d3a641501e542f31d2668b0,m,1000,1000,1000
348,"2.6718169,-76.6389373",Arabica,huila,racafe & cia s.c.a,c.i.racafe & cia s.c.a,Colombia,,,,3-37-1824,de 1.600 a 1.950 msnm,LA PLATA,275,70 kg,AlmacafÃ©,2012,"August 31st, 2012",Racafe & Cia S.C.A,Caturra,Washed / Wet,7.67,7.67,7.58,7.67,7.75,7.58,10,10,10,7.67,83.58,0.11,0,0,Green,3,"August 31st, 2013",AlmacafÃ©,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,1600,1950,1775
349,"19.5420361,-96.9549483",Arabica,xalapa,alfredo bojalil,ecomtrading,Mexico,ojo de agua,agroindustrias unidas de mexico,,2222,1000,JULIAN ALBERTO URRUTIA MOYA,250,1 kg,AMECAFE,2012,"June 6th, 2012",ALFREDO BOJALIL,Typica,Washed / Wet,7.83,7.67,7.58,7.58,7.67,7.58,10,10,10,7.67,83.58,0.12,0,0,,2,"June 6th, 2013",AMECAFE,59e396ad6e22a1c22b248f958e1da2bd8af85272,0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7,m,1000,1000,1000
350,"4.7815839,-75.0920664",Arabica,cundinamarca,carcafe ltda ci,carcafe ltda,Colombia,,,,3-59-0951,2136 msnm,ORLANDO ORTIZ/WILSON SANCHEZ/GILBERTO ACOSTA,250,70 kg,AlmacafÃ©,2012,"April 2nd, 2012",CARCAFE LTDA CI,Caturra,Natural / Dry,7.67,7.58,7.58,7.58,7.67,7.75,10,10,10,7.75,83.58,0.11,0,0,Green,4,"April 2nd, 2013",AlmacafÃ©,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,2136,2136,2136
351,"-21.7473732,-46.5607286",Arabica,south of minas,nucoffee,nucoffee,Brazil,fazenda jericÃ³,,,002/1251/0181,1100m,Alvaro Resende Aguiar,33,60 kg,NUCOFFEE,2012,"January 23rd, 2012",NUCOFFEE,Catuai,Semi-washed / Semi-pulped,7.83,7.75,7.5,7.75,7.5,7.58,10,10,10,7.67,83.58,0.12,0,0,Blue-Green,2,"January 22nd, 2013",NUCOFFEE,567f200bcc17a90070cb952647bf88141ad9c80c,aa2ff513ffb9c844462a1fb07c599bce7f3bb53d,m,1100,1100,1100
352,"4.7815839,-75.0920664",Arabica,cundinamarca,carcafe ltda ci,carcafe ltda,Colombia,,bogota,3-59-1695,3-59-1695,1799,Orlando Moreno / Willson Sanchez,50,70 kg,AlmacafÃ©,2016,"February 20th, 2017",CARCAFE LTDA CI,Caturra,Washed / Wet,7.75,7.58,7.58,7.75,7.75,7.5,10,10,10,7.58,83.5,0,0,0,Bluish-Green,5,"February 20th, 2018",AlmacafÃ©,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,1799,1799,1799
353,NA,Arabica,,cqi taiwan icp cqiå°ç£åˆä½œå¤¥ä¼´,å®¸å¶§åœ‹éš›,Taiwan,å—æŠ•ç¸£é­šæ± é„‰æ°´ç¤¾æ‘ä¸­æ­£è·¯63-1è™Ÿ,é»‘å’–å•¡é“å’–å•¡,2,,,é»‘å’–å•¡é“çŽ‹æ†²å‚™0912326001        ,1,10 kg,Blossom Valley International,2016 / 2017,"February 13th, 2017",CQI Taiwan ICP CQIå°ç£åˆä½œå¤¥ä¼´,,,7.58,7.58,7.17,7.17,7,7,10,10,10,10,83.5,0.11,0,0,Blue-Green,0,"February 13th, 2018",Blossom Valley International,fc45352eee499d8470cf94c9827922fb745bf815,de73fc9412358b523d3a641501e542f31d2668b0,m,NA,NA,NA
354,"9.6029283,-84.1407064",Arabica,tarrazu,"ceca, s.a.","ceca,s.a.",Costa Rica,,beneficio montaÃ±as del diamante,8038,5-025-0250,1850,Martin Gutierrez,245,69 kg,Specialty Coffee Association of Costa Rica,2015,"June 6th, 2016","CECA, S.A.",Caturra,Washed / Wet,7.92,7.42,7.5,7.67,7.5,7.67,10,10,10,7.83,83.5,0,0,0,Blue-Green,0,"June 6th, 2017",Specialty Coffee Association of Costa Rica,8e0b118f3cf3121ab27c5387deacdb7d4d2a60b1,5eb2b7129d9714c43825e44dc3bca9423de209e9,m,1850,1850,1850
355,"1.8529804,-76.0724285",Arabica,pitalito,carcafe ltda ci,carcafe ltda,Colombia,,neiva,3-59-1919,3-59-1919,1000,Mecias Urbano / Yaniver Alvarez,250,70 kg,AlmacafÃ©,2016,"April 7th, 2016",CARCAFE LTDA CI,Caturra,Natural / Dry,7.75,7.58,7.58,7.5,7.75,7.75,10,10,10,7.58,83.5,0,0,0,Green,0,"April 7th, 2017",AlmacafÃ©,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,1000,1000,1000
356,"14.1078491,-89.7899396",Arabica,oriente,juan luis alvarado romero,"unex guatemala, s.a.",Guatemala,la esperanza,beneficio ixchel,11/23/0145,11/23/0145,4000,MARGARITA AVILA DE NUYENS,250,69 kg,Asociacion Nacional Del CafÃ©,2016,"March 16th, 2016",Juan Luis Alvarado Romero,Bourbon,Washed / Wet,7.67,7.75,7.5,7.83,7.58,7.58,10,10,10,7.58,83.5,0.1,0,2,Bluish-Green,5,"March 16th, 2017",Asociacion Nacional Del CafÃ©,b1f20fe3a819fd6b2ee0eb8fdc3da256604f1e53,724f04ad10ed31dbb9d260f0dfd221ba48be8a95,ft,1219.2,1219.2,1219.2
357,"2.6718169,-76.6389373",Arabica,huila,racafe & cia s.c.a,racafe & cia s.c.a,Colombia,,,,3-37-0634,de 1600 a 1950 msnm,La Plata,180,70 kg,AlmacafÃ©,2015,"November 19th, 2015",Racafe & Cia S.C.A,Caturra,Washed / Wet,7.58,7.58,7.58,7.58,7.75,7.67,10,10,10,7.75,83.5,0.12,0,0,Green,4,"November 18th, 2016",AlmacafÃ©,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,1600,1950,1775
358,"-3.3981412,36.6071723",Arabica,nkure- meru,damari absalome,tawoca,"Tanzania, United Republic Of",ano family,arusha,,CA007,1400m,Mr & Mrs Damari Absalome,5,60 kg,Africa Fine Coffee Association,2015,"November 16th, 2015",Damari Absalome,Ruiru 11,Washed / Wet,7.75,7.67,7.58,7.67,7.67,7.58,10,10,10,7.58,83.5,0.13,0,0,Green,21,"November 15th, 2016",Africa Fine Coffee Association,073285c0d45e2f5539012d969937e529564fa6fe,c4ab13415cdd69376a93780c0166e7b1a10481ea,m,1400,1400,1400
359,"4.7747372,96.7121982",Arabica,bener meriah,aulia arif syahri,pt. olam indonesia,Indonesia,yusrin,olam,,To be advice,1500,Yusrin,200,30 kg,Specialty Coffee Association,2015,"September 14th, 2015",Aulia Arif Syahri,Sumatra,Semi-washed / Semi-pulped,7.25,7.67,7.58,7.92,7.83,7.58,10,10,10,7.67,83.5,0.13,0,0,Bluish-Green,8,"September 13th, 2016",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,m,1500,1500,1500
360,"6.8902925,36.2863008",Arabica,oromia,debesa agro industry plc,debesa agro industry plc,Ethiopia,,,,2014/15,1600 on average,Debesa,320,60 kg,METAD Agricultural Development plc,2014,"March 31st, 2015",Debesa Agro Industry Plc,,Natural / Dry,7.67,7.75,7.5,7.58,7.75,7.67,10,10,10,7.58,83.5,0.1,1,0,,18,"March 30th, 2016",METAD Agricultural Development plc,309fcf77415a3661ae83e027f7e5f05dad786e44,19fef5a731de2db57d16da10287413f5f99bc2dd,m,1600,1600,1600
361,"2.6718169,-76.6389373",Arabica,huila,federacion nacional de cafeteros,federacion nacional de cafeteros,Colombia,,,,01-1437,,,275,2 kg,AlmacafÃ©,2014,"March 12th, 2015",Federacion Nacional de Cafeteros,,Washed / Wet,7.67,7.42,7.67,7.83,7.58,7.67,10,10,10,7.67,83.5,0,1,0,,0,"March 11th, 2016",AlmacafÃ©,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,NA,NA,NA
362,"2.6718169,-76.6389373",Arabica,huila,exportadora de cafe condor s.a,exportadora de cafe condor s.a,Colombia,,bonanza - armenia,,3-68-0068,1850 msnm,,275,70 kg,AlmacafÃ©,2014,"January 22nd, 2015",Exportadora de Cafe Condor S.A,Caturra,Washed / Wet,8,7.58,7.25,7.58,7.92,7.58,10,10,10,7.58,83.5,0.11,0,0,Green,0,"January 22nd, 2016",AlmacafÃ©,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,1850,1850,1850
363,"14.6676785,-91.2660831",Arabica,atitlan,the coffee source inc.,the coffee source inc.,Guatemala,several,ixchel,,11-023-0025,1400 mts,UNEX,250,1 kg,Specialty Coffee Association of Costa Rica,2013,"December 18th, 2014",The Coffee Source Inc.,Caturra,Washed / Wet,7.58,7.75,7.5,7.83,7.42,7.67,10,10,10,7.75,83.5,0.1,0,0,Green,0,"December 18th, 2015",Specialty Coffee Association of Costa Rica,8e0b118f3cf3121ab27c5387deacdb7d4d2a60b1,5eb2b7129d9714c43825e44dc3bca9423de209e9,m,1400,1400,1400
364,"4.7815839,-75.0920664",Arabica,cundinamarca,compaÃ±ia colombiana agroindustrial s.a,ecom cca sa,Colombia,,trilladora boananza,,3-79-2009,1650,,250,70 kg,AlmacafÃ©,2014,"August 11th, 2014",CompaÃ±ia Colombiana Agroindustrial S.A,Caturra,Washed / Wet,7.75,7.58,7.33,7.5,7.83,7.83,10,10,10,7.67,83.5,0,2,0,,0,"August 11th, 2015",AlmacafÃ©,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,1650,1650,1650
365,"14.4438197,-87.7340507",Arabica,comayagua,,cigrah,Honduras,los hicaques,cigrah sps,,13-111-240,1350,Reynerio Zepeda,275,1 kg,Instituto HondureÃ±o del CafÃ©,2014/2015,"April 8th, 2014",,Caturra,Natural / Dry,7.67,7.5,7.67,7.5,7.67,7.67,10,10,10,7.83,83.5,0.1,0,0,Green,3,"April 8th, 2015",Instituto HondureÃ±o del CafÃ©,b4660a57e9f8cc613ae5b8f02bfce8634c763ab4,7f521ca403540f81ec99daec7da19c2788393880,m,1350,1350,1350
